cause,cause_corrected,synonym,nesting_cause
prematurity,Prematurity,Prematurity,Premature Birth and Debility
pressed.and.trood.to.death,Pressed And Trood To Death,Pressed And Trood To Death,all
privation,Privation,Privation,all
privation.of.food,Privation Of Food,Privation Of Food,Violence Privation Cold And Intemperance
puerperal.fever.(metria),Puerperal Fever (Metria),Puerperal Fever Or Metria,all
puerperal.fever.or.metri,Puerperal Fever Or Metri,Puerperal Fever Or Metri,all
puerperal.sepsis,Puerperal Sepsis,Puerperal Sepsis,all
pulmonary.congestion.pulmonary.apoplexy,Pulmonary Congestion Pulmonary Apoplexy,Pulmonary Congestion Pulmonary Apoplexy,all
pulmonary.tuberculosis,Pulmonary Tuberculosis,Pulmonary Tuberculosis,Tubercular Diseases
pulmonary tuberculosis,Pulmonary Tuberculosis,Pulmonary Tuberculosis,Tubercular Diseases
purples,Purples,Purples,all
Purples,Purples,Purples,all
purpura.and.scruvy,Purpura And Scruvy,Purpura And Scruvy,Zymotic Diseases
purpura.and.scurvy,Purpura And Scurvy,Purpura And Scurvy,Zymotic Diseases
purpura.and.scurvy.,Purpura And Scurvy,Purpura And Scurvy,Zymotic Diseases
purulent.infection.and.septicaemia,Purulent Infection And Septicaemia,Purulent Infection And Septicaemia,all
putrefaction,Putrefaction,Putrefaction,all
Putrefaction,Putrefaction,Putrefaction,all
Putrifiation,Putrifiation,Putrification,all
pyamia.and.septicamia,Pyamia And Septicamia,Pyamia And Septicamia,all
pyelitis.and.diseases.of.the.bladder,Pyelitis And Diseases Of The Bladder,Pyelitis And Diseases Of The Bladder,all
Pyles,Pyles,Pyles,all
pyrexia,Pyrexia,Pyrexia,all
quinsey,Quinsey,Quinsy,Diseases Of The Stomach Liver And Other Organs Of Digestion
quinsie,Quinsie,Quinsy,Diseases Of The Stomach Liver And Other Organs Of Digestion
Quinsie,Quinsie,Quinsy,Diseases Of The Stomach Liver And Other Organs Of Digestion
Quinsie and Rash,Quinsie And Rash,Quinsy And Rash,all
quinsy,Quinsy,Quinsy,Diseases Of The Stomach Liver And Other Organs Of Digestion
Quinsy,Quinsy,Quinsy,Diseases Of The Stomach Liver And Other Organs Of Digestion
Quinsy and Rash,Quinsy And Rash,Quinsy And Rash,all
rabies.hydrophobia,Rabies Hydrophobia,Rabies Hydrophobia,Hydrophobia
rasa,Rasa,Rash,all
Rash,Rash,Rash,all
remittent.fever,Remittent Fever,Remittent Fever,Zymotic Diseases
Reumatism,Reumatism,Rheumatism,Rheumatism Diseases Of The Bones Joints Etc
rheumatic.fever,Rheumatic Fever,Rheumatic Fever,Zymotic Diseases
rheumatism,Rheumatism,Rheumatism,Rheumatism Diseases Of The Bones Joints Etc
Rheumatism,Rheumatism,Rheumatism,Rheumatism Diseases Of The Bones Joints Etc
Rhumatism,Rhumatism,Rheumatism,Rheumatism Diseases Of The Bones Joints Etc
rickets,Rickets,Rickets,all
Rickets,Rickets,Rickets,all
rising.of.the.lights,Rising Of The Lights,Rising Of The Lights,all
Rising of the Lights,Rising Of The Lights,Rising Of The Lights,all
road.traffic.accidents,Road Traffic Accidents,Road Traffic Accidents,all
running.of.the.reines,Running Of The Reines,Running Of The Reins,all
Running of the Reines,Running Of The Reines,Running Of The Reins,all
Running of the Reins,Running Of The Reins,Running Of The Reins,all
rupture,Rupture,Rupture,all
Rupture,Rupture,Rupture,all
Salivation,Salivation,Salivation,all
scald.head,Scald Head,Scald-Head,all
Scald head,Scald Head,Scald-Head,all
Scald-head,Scald-Head,Scald-Head,all
scalded,Scalded,Scalded,all
Scalded [...],Scalded,Scalded,all
scalet.fever,Scalet Fever,Scarlet Fever,Zymotic Diseases
scarlatina,Scarlatina,Scarlatina,Scarlet Fever
Scarlatina,Scarlatina,Scarlatina,Scarlet Fever
Scarlet Feaver,Scarlet Feaver,Scarlet Fever,Zymotic Diseases
scarlet.fever,Scarlet Fever,Scarlet Fever,Zymotic Diseases
Scarlet Fever,Scarlet Fever,Scarlet Fever,Zymotic Diseases
scarlet.fever.(scarlatina),Scarlet Fever (Scarlatina),Scarlet Fever Or Scarlatina,Scarlet Fever
scarlet.fever.and.streptococcal.sore.throat,Scarlet Fever And Streptococcal Sore Throat,Scarlet Fever And Streptococcal Sore Throat,Scarlet Fever
scarlet.fever.or.scarlatina,Scarlet Fever Or Scarlatina,Scarlet Fever Or Scarlatina,Scarlet Fever
sciatia,Sciatia,Sciatica,all
Sciatica,Sciatica,Sciatica,all
scorfula,Scorfula,Scorfula,all
scowring,Scowring,Scowring,all
Scowring,Scowring,Scowring,all
scrofua,Scrofua,Scrofula,all
scrofula,Scrofula,Scrofula,all
Scrofula,Scrofula,Scrofula,all
scrophula,Scrophula,Scrofula,all
Scrophula,Scrophula,Scrofula,all
Scurvy,Scurvy,Scurvy,all
self.killed,Self Killed,Self Killed,all
senility.without.psychosis,Senility Without Psychosis,Senility Without Psychosis,all
septic.abortion,Septic Abortion,Septic Abortion,all
shingles,Shingles,Shingles,all
Shingles,Shingles,Shingles,all
shortness.of.breath,Shortness Of Breath,Shortness Of Breath,all
Shortness of breath,Shortness Of Breath,Shortness Of Breath,all
shot,Shot,Shot,all
Shot [...],Shot,Shot,all
simple.cholera,Simple Cholera,Simple Cholera,Cholera
simple.continue.fever,Simple Continue Fever,Simple Continued Fever,all
simple.continued.and.ill.define.fever,Simple Continued And Ill Define Fever,Simple Continued Fever,all
simple.continued.fever,Simple Continued Fever,Simple Continued Fever,all
simple.meningitis,Simple Meningitis,Simple Meningitis,all
simple meningitis,Simple Meningitis,Simple Meningitis,all
skin.disease,Skin Disease,Skin Disease,all
skin.disease.&.c,Skin Disease & C,Skin Disease,all
skin.disease.other,Skin Disease Other,Skin Disease Other,all
slain,Slain,Slain,all
Slain [...],Slain,Slain,all
small.pox,Small Pox,Smallpox,Zymotic Diseases
Small-Pox,Small-Pox,Smallpox,Zymotic Diseases
smallpox,Smallpox,Smallpox,Zymotic Diseases
Smallpox,Smallpox,Smallpox,Zymotic Diseases
smallpox.no.statement,Smallpox No Statement,Smallpox No Statement,Smallpox
smallpox.unvaccinated,Smallpox Unvaccinated,Smallpox Unvaccinated,Smallpox
smallpox.vaccinated,Smallpox Vaccinated,Smallpox Vaccinated,Smallpox
smothered,Smothered,Smothered,all
Smothered,Smothered,Smothered,all
Smothered [...],Smothered,Smothered,all
softening.of.brain,Softening Of Brain,Softening Of Brain,all
Sore Arm,Sore Arm,Sore Arm,all
Sore Arme,Sore Arme,Sore Arm,all
sore.break,Sore Break,Sore Break,all
sore.breast,Sore Breast,Sore Breast,all
Sore Breast,Sore Breast,Sore Breast,all
Sore Brest,Sore Brest,Sore Breast,all
sore.hand,Sore Hand,Sore Hand,all
Sore hand,Sore Hand,Sore Hand,all
sore.head,Sore Head,Sore Head,all
Sore Head,Sore Head,Sore Head,all
sore.leg,Sore Leg,Sore Leg,all
Sore leg,Sore Leg,Sore Leg,all
Sore legge,Sore Legge,Sore Leg,all
sore.mouth,Sore Mouth,Sore Mouth,all
Sore mouth,Sore Mouth,Sore Mouth,all
sore.throat,Sore Throat,Sore Throat,all
Sore throat,Sore Throat,Sore Throat,all
Sore throat and Quinsey,Sore Throat And Quinsey,Sore Throat And Quinsy,all
Sore throat and Quinsy,Sore Throat And Quinsy,Sore Throat And Quinsy,all
sore.throat.or.quinsey,Sore Throat Or Quinsey,Sore Throat And Quinsy,all
"Sore throat, or Quinsey","Sore Throat, Or Quinsey",Sore Throat And Quinsy,all
Sores,Sores,Sores,all
sores.and.ulcers,Sores And Ulcers,Sores And Ulcers,all
Sores and Ulcers,Sores And Ulcers,Sores And Ulcers,all
spasm,Spasm,Spasms,all
Spasm,Spasm,Spasms,all
Spasms,Spasms,Spasms,all
spina.bifida,Spina Bifida,Spina Bifida,all
spinda.bifida,Spinda Bifida,Spina Bifida,all
spitting.blood,Spitting Blood,Spitting Blood,all
Spitting of blood,Spitting Of Blood,Spitting Blood,all
spleen,Spleen,Spleen,all
Spleen,Spleen,Spleen,all
spleen.disease,Spleen Disease,Spleen Disease,all
spleen.disease.,Spleen Disease,Spleen Disease,all
spleen.disease.&.c,Spleen Disease & C,Spleen Disease,all
spleen.disease.other,Spleen Disease Other,Spleen Disease Other,all
Spotted Feaver,Spotted Feaver,Spotted Fever,all
Spotted Feaver and Purples,Spotted Feaver And Purples,Spotted Fever And Purples,all
spotted.fever,Spotted Fever,Spotted Fever,all
Spotted Fever,Spotted Fever,Spotted Fever,all
Spotted Fever and Purples,Spotted Fever And Purples,Spotted Fever And Purples,all
Sprain,Sprain,Sprain,all
st..anthonies.fire,St  Anthonies Fire,St Anthony's Fire,all
St. Anthonies Fire,St  Anthonies Fire,St Anthony's Fire,all
st..vitus.dance,St  Vitus Dance,St Vitus's Dance,all
St. Vitus's Dance,St  Vitus's Dance,St  Vitus's Dance,all
st.anthonies.fire,St Anthonies Fire,St Anthonies Fire,all
St Anthony's Fire,St Anthony's Fire,St Anthony's Fire,all
st.vitus.dance,St Vitus Dance,St Vitus's Dance,all
St Vitus's Dance,St Vitus's Dance,St Vitus's Dance,all
stabbed,Stabbed,Stabbed,all
Stabbed,Stabbed,Stabbed,all
Stabbed [...],Stabbed,Stabbed,all
stabbed.self,Stabbed Self,Stabbed,all
Stagation in the Head,Stagation In The Head,Stagnation In The Head,all
stagnation.in.the.head,Stagnation In The Head,Stagnation In The Head,all
Stagnation in the Head,Stagnation In The Head,Stagnation In The Head,all
stagnation.of.the.blood,Stagnation Of The Blood,Stagnation Of The Blood,all
Stagnation of the Blood,Stagnation Of The Blood,Stagnation Of The Blood,all
starved,Starved,Starved,all
Starved [...],Starved,Starved,all
starved.to.death,Starved To Death,Starved,all
stifled,Stifled,Stifled,all
Stifled,Stifled,Stifled,all
Stifled [...],Stifled,Stifled,all
stilborn,Stilborn,Stillborn,all
Stilborn,Stilborn,Stillborn,all
stillborn,Stillborn,Stillborn,all
Stillborn,Stillborn,Stillborn,all
Stitch,Stitch,Stitch,all
stomach.diease.other,Stomach Diease Other,Stomach Diease,Diseases Of The Stomach Liver And Other Organs Of Digestion
stomach.disease,Stomach Disease,Stomach Disease,Diseases Of The Stomach Liver And Other Organs Of Digestion
stomach.disease.&.c,Stomach Disease & C,Stomach Disease,Diseases Of The Stomach Liver And Other Organs Of Digestion
stomach.disease.&c,Stomach Disease &C,Stomach Disease,Diseases Of The Stomach Liver And Other Organs Of Digestion
stone,Stone,Stone,Diseases Of The Kidneys Etc
Stone,Stone,Stone,Diseases Of The Kidneys Etc
Stone and Gravel,Stone And Gravel,Stone And Gravel,all
Stone colic,Stone Colic,Stone Colic,all
stone.colick,Stone Colick,Stone Colic,all
stone.colick..,Stone Colick,Stone Colic,all
Stone in the Bladder,Stone In The Bladder,Stone In The Bladder,all
Stone-Colick,Stone-Colick,Stone Colic,all
Stoppage,Stoppage,Stoppage,all
Stoppage in the Head,Stoppage In The Head,Stoppage In The Head,all
stoppage.in.the.stomach,Stoppage In The Stomach,Stoppage In The Stomach,all
stoppage.of.the.throat,Stoppage Of The Throat,Stoppage Of The Throat,all
Stoppage of the throat,Stoppage Of The Throat,Stoppage Of The Throat,all
Stoppage of Urin,Stoppage Of Urin,Stoppage Of Urine,all
stoppage.of.urine,Stoppage Of Urine,Stoppage Of Urine,all
Stoppage of Urine,Stoppage Of Urine,Stoppage Of Urine,all
stopping.of.the.stomach,Stopping Of The Stomach,Stopping Of The Stomach,all
Stopping of the stomach,Stopping Of The Stomach,Stopping Of The Stomach,all
strained,Strained,Strained,all
Strained,Strained,Strained,all
Strangled [...],Strangled,Strangled,all
strangled.self,Strangled Self,Strangled Self,all
strangury,Strangury,Strangury,all
Strangury,Strangury,Strangury,all
stricture,Stricture,Stricture,all
Stricture,Stricture,Stricture,all
stricture.of.intenstinnal.canal,Stricture Of Intenstinnal Canal,Stricture Of Intestinal Canal,Diseases Of The Stomach Liver And Other Organs Of Digestion
stricture.of.intestinal.canal,Stricture Of Intestinal Canal,Stricture Of Intestinal Canal,Diseases Of The Stomach Liver And Other Organs Of Digestion
stricture.of.intestines,Stricture Of Intestines,Stricture Of Intestines,Diseases Of The Stomach Liver And Other Organs Of Digestion
stricture.of.uethra,Stricture Of Uethra,Stricture Of Urethra,Diseases Of The Kidneys Etc
stricture.of.urethra,Stricture Of Urethra,Stricture Of Urethra,all
stricture.of.urethra.,Stricture Of Urethra,Stricture Of Urethra,all
strongulli.on,Strongulli On,Strongullion,all
strongullion,Strongullion,Strongullion,all
Strongullion,Strongullion,Strongullion,all
Strumerous Ulceration of the Tongue,Strumerous Ulceration Of The Tongue,Strumerous Ulceration Of The Tongue,all
sudden.deaths,Sudden Deaths,Sudden Deaths,all
sudden.deaths.cause.unascertained,Sudden Deaths Cause Unascertained,Sudden Deaths Not Classed,all
sudden.deaths.causes.unascertained,Sudden Deaths Causes Unascertained,Sudden Deaths Not Classed,all
sudden.deaths.not.classed,Sudden Deaths Not Classed,Sudden Deaths Not Classed,all
suddenly,Suddenly,Suddenly,all
Suddenly,Suddenly,Suddenly,all
suffocated,Suffocated,Suffocated,all
Suffocated [...],Suffocated,Suffocated,all
suffocated.with.charcoal,Suffocated With Charcoal,Suffocated With Charcoal,all
suffocation.in.bed,Suffocation In Bed,Suffocation In Bed,all
Suffocation of the Blood,Suffocation Of The Blood,Suffocation Of The Blood,all
suicide,Suicide,Suicide,all
suicide.cut.own.throat,Suicide Cut Own Throat,Suicide Cut Own Throat,all
suicide.drowning,Suicide Drowning,Suicide Drowning,all
suicide.hanged,Suicide Hanged,Suicide Hanged,all
suicide.hanged...,Suicide Hanged,Suicide Hanged,all
suicide.hanging,Suicide Hanging,Suicide Hanged,all
suicide.jumped.off.roof.or.window,Suicide Jumped Off Roof Or Window,Suicide Jumped Off Roof Or Window,all
suicide.otherwise,Suicide Otherwise,Suicide Otherwise,all
suicide.poison,Suicide Poison,Suicide Poisoned,all
suicide.poisoned,Suicide Poisoned,Suicide Poisoned,all
suicide.shot.self,Suicide Shot Self,Suicide Shot Self,all
suicide.stabbed.self,Suicide Stabbed Self,Suicide Stabbed Self,all
suicide.stabbed.self..,Suicide Stabbed Self,Suicide Stabbed Self,all
suicide.strangled.self,Suicide Strangled Self,Suicide Strangled Self,all
suicide.unspecified,Suicide Unspecified,Suicide Unspecified,all
suicide.wounds.cut.stab,Suicide Wounds Cut Stab,Suicide Wounds Cut Stab,all
suicide.wounds.gunshot,Suicide Wounds Gunshot,Suicide Wounds Gunshot,all
surfeit,Surfeit,Surfeit,all
Surfeit,Surfeit,Surfeit,all
Swelled-knee,Swelled-Knee,Swelling In The Knee,all
Swelled-neck,Swelled-Neck,Swelling In The Neck,all
swelling,Swelling,Swelling,all
Swelling,Swelling,Swelling,all
swelling.in.the.hip,Swelling In The Hip,Swelling In The Hip,all
Swelling in the hip,Swelling In The Hip,Swelling In The Hip,all
swelling.in.the.knee,Swelling In The Knee,Swelling In The Knee,all
Swelling in the knee,Swelling In The Knee,Swelling In The Knee,all
Swelling in the neck,Swelling In The Neck,Swelling In The Neck,all
Swelling in the Neck,Swelling In The Neck,Swelling In The Neck,all
swelling.in.the.throat,Swelling In The Throat,Swelling In The Throat,all
Swelling in the throat,Swelling In The Throat,Swelling In The Throat,all
Swelling in the Throat,Swelling In The Throat,Swelling In The Throat,all
swine.pox,Swine Pox,Swine Pox,all
Swine pox,Swine Pox,Swine Pox,all
Swine-pox,Swine-Pox,Swine Pox,all
synovitis.arthritis,Synovitis Arthritis,Synovitis Or Arthritis,all
synovitis.or.arthritis,Synovitis Or Arthritis,Synovitis Or Arthritis,all
syphilis,Syphilis,Syphilis,Zymotic Diseases
syphilis.and.its.sequelae,Syphilis And Its Sequelae,Syphilis And Its Sequelae,all
syphilitic.disease,Syphilitic Disease,Syphilitic Disease,all
tabes.mesenterica,Tabes Mesenterica,Tabes Mesenterica,all
tabesmesenterica,Tabesmesenterica,Tabes Mesenterica,all
teeth,Teeth,Teething,Diseases Of The Stomach Liver And Other Organs Of Digestion
Teeth,Teeth,Teething,Diseases Of The Stomach Liver And Other Organs Of Digestion
teething,Teething,Teething,Diseases Of The Stomach Liver And Other Organs Of Digestion
Teething,Teething,Teething,Diseases Of The Stomach Liver And Other Organs Of Digestion
tetanus,Tetanus,Tetanus,Diseases Of The Brain Spinal Marrow Nerves And Senses
Tetter,Tetter,Tetter,all
threw.self.out.window,Threw Self Out Window,Threw Self Out Window,all
thrush,Thrush,Thrush,Zymotic Diseases
Thrush,Thrush,Thrush,Zymotic Diseases
Thrush and Canker,Thrush And Canker,Thrush And Canker,all
timpany,Timpany,Timpany,all
Timpany,Timpany,Timpany,all
tissick,Tissick,Tissick,all
Tissick,Tissick,Tissick,all
tooth.ach,Tooth Ach,Tooth Ache,Diseases Of The Stomach Liver And Other Organs Of Digestion
Tooth Ach,Tooth Ach,Tooth Ache,Diseases Of The Stomach Liver And Other Organs Of Digestion
tooth.ache,Tooth Ache,Tooth Ache,Diseases Of The Stomach Liver And Other Organs Of Digestion
Tooth Ache,Tooth Ache,Tooth Ache,Diseases Of The Stomach Liver And Other Organs Of Digestion
tuberculosis.intestines.and.peritoneum,Tuberculosis Intestines And Peritoneum,Tuberculosis Intestines And Peritoneum,Tubercular Diseases
tuberculosis.meningitis,Tuberculosis Meningitis,Tuberculosis Meningitis,Tubercular Diseases
tuberculosis meningitis,Tuberculosis Meningitis,Tuberculosis Meningitis,Tubercular Diseases
tuberculosis.nervous.system,Tuberculosis Nervous System,Tuberculosis Nervous System,Tubercular Diseases
tuberculosis.of.other.organs,Tuberculosis Of Other Organs,Tuberculosis Of Other Organs,Tubercular Diseases
tuberculosis.of.respiratory.ststem,Tuberculosis Of Respiratory Ststem,Tuberculosis Of Respiratory Ststem,Tubercular Diseases
tuberculosis.of.respiratory.system,Tuberculosis Of Respiratory System,Tuberculosis Of Respiratory System,Tubercular Diseases
tuberculosis.of.the.joints,Tuberculosis Of The Joints,Tuberculosis Of The Joints,Tubercular Diseases
tuberculosis.of.the.spine,Tuberculosis Of The Spine,Tuberculosis Of The Spine,Tubercular Diseases
tuberculosis.other.forms,Tuberculosis Other Forms,Tuberculosis Other Forms,Tubercular Diseases
tuberculosis.respiratory.system,Tuberculosis Respiratory System,Tuberculosis Respiratory System,Tubercular Diseases
tuberculous.disease.other,Tuberculous Disease Other,Tuberculous Disease Other,Tubercular Diseases
tuberculous.meningitis,Tuberculous Meningitis,Tuberculous Meningitis,Tubercular Diseases
tuberculous.peritonitis,Tuberculous Peritonitis,Tuberculous Peritonitis,Tubercular Diseases
tuberculous.phthisis,Tuberculous Phthisis,Tuberculous Phthisis,Tubercular Diseases
tumor.of.the.womb,Tumor Of The Womb,Tumor Of The Womb,all
tumour,Tumour,Tumor,all
Tumour,Tumour,Tumor,all
Tumour of the Womb,Tumour Of The Womb,Tumor Of The Womb,all
tumour.situation.undefined,Tumour Situation Undefined,Tumor,all
twisting.in.the.guts,Twisting In The Guts,Twisting Of The Gut,all
Twisting of the gut,Twisting Of The Gut,Twisting Of The Gut,all
Tympany,Tympany,Tympany,all
typhoid.and.paratyphoid.fever,Typhoid And Paratyphoid Fever,Typhoid And Paratyphoid Fever,all
typhoid.and.paratyphoid.fevers,Typhoid And Paratyphoid Fevers,Typhoid And Paratyphoid Fevers,all
typhoid.fever,Typhoid Fever,Typhoid Fever,all
typhus,Typhus,Typhus Fever,Zymotic Diseases
typhus.and.enteric.fever.and.simple.continued.fever,Typhus And Enteric Fever And Simple Continued Fever,Typhus And Enteric Fever And Simple Continued Fever,all
typhus.and.infantile.fever,Typhus And Infantile Fever,Typhus And Infantile Fever,all
typhus and infantile fever,Typhus And Infantile Fever,Typhus And Infantile Fever,all
Typhus Fever,Typhus Fever,Typhus Fever,Zymotic Diseases
typus.fever,Typus Fever,Typhus Fever,Zymotic Diseases
ulcer,Ulcer,Ulcer,all
Ulcer,Ulcer,Ulcer,all
Ulcer [...],Ulcer,Ulcer,all
Ulcer in the Lungs,Ulcer In The Lungs,Ulcer In The Lungs,all
ulcer.of.stomach.and.duodenum,Ulcer Of Stomach And Duodenum,Ulcer Of Stomach And Duodenum,all
ulcer.of.the.stomach.and.duodenum,Ulcer Of The Stomach And Duodenum,Ulcer Of The Stomach And Duodenum,all
ulceration.of.intestines,Ulceration Of Intestines,Ulceration Of Intestines,Diseases Of The Stomach Liver And Other Organs Of Digestion
ulceration.of.the.intestines,Ulceration Of The Intestines,Ulceration Of Intestines,Diseases Of The Stomach Liver And Other Organs Of Digestion
ulsers,Ulsers,Ulcer,all
unknown,Unknown,Unknown,all
Unknown,Unknown,Unknown,all
uterus.disease,Uterus Disease,Uterus Disease,all
uterus.disease.&.c,Uterus Disease & C,Uterus Disease,all
uterus.disease.other,Uterus Disease Other,Uterus Disease Other,all
vapours,Vapours,Vapours,all
Vapours,Vapours,Vapours,all
vascular.lesions.of.central.nervous.system,Vascular Lesions Of Central Nervous System,Vascular Lesions Of Central Nervous System,all
vasitation.of.god,Vasitation Of God,Vasitation Of God,all
vehicles.and.horses,Vehicles And Horses,Vehicles And Horses,all
veneeral.diseases,Veneeral Diseases,Veneeral Diseases,all
veneral.disease,Veneral Disease,Venereal Diseases,all
venereal,Venereal,Venereal Diseases,all
Venereal,Venereal,Venereal Diseases,all
venereal.diseases,Venereal Diseases,Venereal Diseases,all
vertigo,Vertigo,Vertigo,all
Vertigo,Vertigo,Vertigo,all
Vertigoe,Vertigoe,Vertigo,all
violent.deaths.not.classed,Violent Deaths Not Classed,Violent Deaths Not Classed,all
violent.deaths.not.classified,Violent Deaths Not Classified,Violent Deaths Not Classed,all
violent.hands.on.self,Violent Hands On Self,Violent Hands On Self,all
Visitation of God,Visitation Of God,Visitation Of God,all
vomiting,Vomiting,Vomiting,all
Vomiting,Vomiting,Vomiting,all
Vomiting and Looseness,Vomiting And Looseness,Vomiting And Looseness,all
Vomiting Blood,Vomiting Blood,Vomiting Blood,all
Vven,Vven,Wen,all
want.of.breast.milk,Want Of Breast Milk,Want Of Breast Milk,Violence Privation Cold And Intemperance
water.in.the.chest,Water In The Chest,Water In The Chest,all
Water in the chest,Water In The Chest,Water In The Chest,all
water.in.the.head,Water In The Head,Water In The Head,all
Water in the head,Water In The Head,Water In The Head,all
Wen,Wen,Wen,all
Wen in the Throat,Wen In The Throat,Wen In The Throat,all
wenn,Wenn,Wen,all
Wenn,Wenn,Wen,all
Wenne,Wenne,Wen,all
White Flux,White Flux,White Flux,all
White Hives,White Hives,White Hives,all
white.ives,White Ives,White Hives,all
White Ives,White Ives,White Hives,all
white.swelling,White Swelling,White Swelling,all
White Swelling,White Swelling,White Swelling,all
whooping.cough,Whooping Cough,Whooping Cough,Zymotic Diseases
Whooping Cough,Whooping Cough,Whooping Cough,Zymotic Diseases
wind,Wind,Wind,all
Wind,Wind,Wind,all
Winde,Winde,Wind,all
Wolf,Wolf,Wolf,all
woolfe,Woolfe,Wolf,all
Woolfe,Woolfe,Wolf,all
Wormes,Wormes,Worms,all
worms,Worms,Worms,all
Worms,Worms,Worms,all
worms.and.other.parasitical.diseases,Worms And Other Parasitical Diseases,Worms And Other Parasitical Diseases,all
wounded,Wounded,Wounded,Violence Privation Cold And Intemperance
Wounded [...],Wounded,Wounded,Violence Privation Cold And Intemperance
wounds,Wounds,Wounded,Violence Privation Cold And Intemperance
[Suicide],[Suicide],[Suicide],all
all,NA,all,
specified.causes,NA,Specified Causes,all
zymotic.diseases,Zymotic Diseases,Zymotic Diseases,all
dropsy.cancer.and.other.diseases.of.uncertain.or.variable.seat,Dropsy Cancer And Other Diseases Of Uncertain Or Variable Seat,Dropsy Cancer And Other Diseases Of Uncertain Or Variable Seat,all
tubercular.diseases,Tubercular Diseases,Tubercular Diseases,all
diseases.of.the.brain.spinal.marrow.nerves.and.senses,Diseases Of The Brain Spinal Marrow Nerves And Senses,Diseases Of The Brain Spinal Marrow Nerves And Senses,all
diseases.of.the.heart.and.blood.vessels,Diseases Of The Heart And Blood Vessels,Diseases Of The Heart And Blood Vessels,all
diseases.of.the.lungs.and.of.the.other.organs.of.respiration,Diseases Of The Lungs And Of The Other Organs Of Respiration,Diseases Of The Lungs And Of The Other Organs Of Respiration,all
diseases.of.the.stomach.liver.and.other.organs.of.digestion,Diseases Of The Stomach Liver And Other Organs Of Digestion,Diseases Of The Stomach Liver And Other Organs Of Digestion,all
diseases.of.the.kidneys.etc,Diseases Of The Kidneys Etc,Diseases Of The Kidneys Etc,all
childbirth.diseases.of.the.uterus.etc,Childbirth Diseases Of The Uterus Etc,Childbirth Diseases Of The Uterus Etc,all
rheumatism.diseases.of.the.bones.joints.etc,Rheumatism Diseases Of The Bones Joints Etc,Rheumatism Diseases Of The Bones Joints Etc,all
diseases.of.the.skin.cellular.tissue.etc,Diseases Of The Skin Cellular Tissue Etc,Diseases Of The Skin Cellular Tissue Etc,all
malformations,,Malformation,all
premature.birth.and.debility,,Premature Birth and Debility,all
sudden,,Sudden,all
violence.privation.cold.and.intemperance,Violence Privation Cold And Intemperance,Violence Privation Cold And Intemperance,all
acm,,all,
premature.birth.,,Premature Birth,Premature Birth and Debility
death.all.causes,,all,
death.specified.causes,,Specified Causes,all
age,,Aged,all
annual.death.all.causes,,all,
annual.death.specified.causes,,Specified Causes,all
annual.deaths,,all,
female.deaths,,all,
males.deaths,,all,
females.death,,all,
males.death,,all,
male.deaths,,all,
buried.female,,all,
buried.male,,all,
buried.total,,all,
total,,all,
,,all,
